"PLANT","DTSTART","DTEND","NDELAYCODE","DELAYCOMMENT","COILID1","DTSTORE"
1,"12.10.16 11:05","12.10.16 11:07",0,,,"12.10.16 11:12"
2,"12.10.16 11:29","12.10.16 11:40",0,,,"12.10.16 11:40"
1,"12.10.16 11:36","12.10.16 12:05",0,,,"12.10.16 12:10"
2,"12.10.16 13:21","12.10.16 13:25",0,,,"12.10.16 13:30"
2,"12.10.16 12:54","12.10.16 13:01",0,,,"12.10.16 13:01"
1,"12.10.16 16:15","12.10.16 16:21",0,,,"12.10.16 16:25"
3,"12.10.16 13:25","12.10.16 14:08",0,,,"12.10.16 14:07"
1,"12.10.16 14:08","12.10.16 14:10",0,,,"12.10.16 14:15"
2,"12.10.16 14:12","12.10.16 14:18",0,,,"12.10.16 14:18"
3,"12.10.16 16:21","13.10.16 05:58",0,,,"13.10.16 05:58"
2,"13.10.16 07:14","13.10.16 07:15",0,,,"13.10.16 07:20"
1,"13.10.16 05:58","13.10.16 05:57",0,,,"13.10.16 06:02"
1,"13.10.16 07:20","13.10.16 07:22",0,,,"13.10.16 07:27"
3,"13.10.16 07:15","13.10.16 07:20",0,,,"13.10.16 07:20"
3,"13.10.16 07:22","13.10.16 07:30",0,,,"13.10.16 07:30"
3,"13.10.16 07:38","13.10.16 07:53",0,,,"13.10.16 07:53"
1,"13.10.16 07:30","13.10.16 07:25",0,,,"13.10.16 07:30"
1,"13.10.16 07:32","13.10.16 07:38",0,,,"13.10.16 07:43"
2,"13.10.16 08:19","13.10.16 08:24",0,,,"13.10.16 08:29"
1,"13.10.16 07:53","13.10.16 07:50",0,,,"13.10.16 07:55"
1,"13.10.16 08:08","13.10.16 08:10",0,,,"13.10.16 08:14"
3,"13.10.16 08:10","13.10.16 08:19",0,,,"13.10.16 08:24"
1,"13.10.16 08:45","13.10.16 08:51",0,,,"13.10.16 08:56"
3,"13.10.16 08:24","13.10.16 08:45",0,,,"13.10.16 08:45"
3,"13.10.16 08:51","13.10.16 08:56",0,,,"13.10.16 08:56"
1,"13.10.16 09:27","13.10.16 09:30",0,,,"13.10.16 09:35"
1,"13.10.16 08:56","13.10.16 09:07",0,,,"13.10.16 09:12"
2,"13.10.16 09:13","13.10.16 09:19",0,,,"13.10.16 09:19"
2,"13.10.16 09:58","13.10.16 10:03",0,,,"13.10.16 10:08"
