"COILIDOUT","COILIDIN","ALLOYCODE","ENTRYTHICK","EXITTHICK","ENTRYWIDTH","ENTRYDIAMPDI","EXITWEIGHTMEAS","DTSTARTROLL","DTDEPARTURE","DTENDROLLING","LENGTHPHASEEXIT","LENGTHTHICKTOL"
"1800053500B100","1800053500Y100",SPCC,5,1.2,1285,1805,20184.8552645872,"28.03.18 15:31","28.03.18 17:24","03.28.18 16:03",1152.93603515625,1.53408813476563
"1800056200B120","1800056200Y100",SPCC,3.5,0.8,1285,1782,17385.4510354869,"28.03.18 07:58","28.03.18 13:30","03.28.18 11:10",1278.25817871094,1.78851318359375
"1800079400B100","1800079400Y100",SPCC,5,1.2,1285,1810,20377.5884855604,"29.03.18 09:56","29.03.18 11:28","03.29.18 10:17",1031.25891113281,1.74102783203125
"1800053900B100","1800053900Y100",SPCC,5,1.2,1285,1805,20115.6708549278,"28.03.18 15:38","28.03.18 17:31","03.28.18 16:09",1150.66430664062,1.71932983398438
"1800078700B100","1800078700Y100",SPCC,5,1.15,1285,1791,19763.7323742235,"28.03.18 21:39","28.03.18 23:55","03.28.18 22:08",945.975219726563,1.3831787109375
"1800053300B100","1800053300Y100",SPCC,5,1.2,1285,1813,20041.8206280562,"28.03.18 14:30","28.03.18 17:04","03.28.18 15:23",1115.73620605469,2.22752380371094
"1800058200B100","1800058200Y100",SPCC,5,1.2,1285,1809,20244.3056671233,"28.03.18 19:43","28.03.18 22:22","03.28.18 20:21",1243.11450195313,2.34884643554688
"1800053000B100","1800053000Y100",SPCC,5,1.2,1285,1806,20197.9889564188,"28.03.18 13:53","28.03.18 16:35","03.28.18 14:33",318.047912597656,0.304397583007813
"1800053100B100","1800053100Y100",SPCC,5,1.2,1285,1812,20154.2210561657,"28.03.18 13:29","28.03.18 16:31","03.28.18 14:19",885.307189941406,0.569084167480469
"1800054600B100","1800054600Y100",SPCC,5,1.36,1285,1800,19821.3437465816,"28.03.18 18:41","28.03.18 21:56","03.28.18 19:22",905.798156738281,0.71539306640625
"1800058000B100","1800058000Y100",SPCC,5,1.5,1285,1814,20398.6100207481,"28.03.18 19:21","28.03.18 22:09","03.28.18 20:14",637.791748046875,0.670257568359375
"1800078600B100","1800078600Y100",SPCC,5,1.15,1285,1787,19730.4405826551,"29.03.18 08:06","29.03.18 10:53","03.29.18 09:49",1095.78198242188,1.09030151367188
"1800080100B100","1800080100Y100",SPCC,5,1.2,1285,1818,20372.8325875803,"29.03.18 10:36","29.03.18 14:06","03.29.18 11:04",1036.421875,0.97161865234375
"1800074500B100","1800074500Y100",SPCC,2.5,0.5,1285,1858,21351.0094686832,"30.03.18 08:02","30.03.18 10:24","03.30.18 08:39",1529.70935058594,1.78781127929688
"1800076800B100","1800076800Y100",SPCC,4.5,1,1285,1799,19975.3534440353,"30.03.18 09:35","30.03.18 11:41","03.30.18 10:05",1561.21789550781,1.82501220703125
"1800087200B100","1800087200Y100",SPCC,3.5,0.8,1285,1809,20410.9340003677,"31.03.18 11:12","31.03.18 13:29","03.31.18 11:42",2114.12524414063,1.90301513671875
"1800093900B1S0","1800093900Y100",SPCC,3,0.7,1285,1810,816.068924078354,"31.03.18 15:04","01.04.18 06:19","03.31.18 15:43",0,0
"1800106000B100","1800106000Y100",SPCC,5.5,1.66,1535,1797,24033.2536991237,"05.04.18 15:46","05.04.18 17:45","04.05.18 16:06",884.406433105469,1.17791748046875
"1800108000B100","1800108000Y100",SPCC,5,1.2,1535,1788,23323.5953764494,"04.04.18 17:33","04.04.18 19:37","04.04.18 18:03",1072.29614257813,1.54742431640625
"1800111800B100","1800111800Y100",SPCC,5,1.2,1535,1791,23461.0021737338,"04.04.18 19:11","05.04.18 09:01","04.04.18 19:41",912.932678222656,0.85205078125
"1800113100B100","1800113100Y100",SPCC,4.5,1,1535,1772,23230.8894903849,"04.04.18 12:03","04.04.18 16:39","04.04.18 15:15",1409.44091796875,1.6866455078125
"1800112800B100","1800112800Y100",SPCC,4.5,1,1535,1767,22874.7476069993,"04.04.18 15:00","04.04.18 16:48","04.04.18 15:21",1446.33093261719,1.74188232421875
"1800113300B100","1800113300Y100",SPCC,4.5,1,1535,1748,22555.2383966248,"04.04.18 15:15","04.04.18 17:20","04.04.18 15:47",0,0
"1800113600B100","1800113600Y100",SPCC,4.5,1,1535,1758,22781.9823375709,"04.04.18 15:20","04.04.18 17:34","04.04.18 15:56",949.780944824219,1.3104248046875
"1800111900B100","1800111900Y100",SPCC,5,1.2,1535,1785,23573.862834325,"04.04.18 19:30","05.04.18 09:13","04.04.18 19:53",1166.47705078125,1.16375732421875
"1800108200B100","1800108200Y100",SPCC,5,1.2,1535,1787,23704.2361504635,"04.04.18 17:49","04.04.18 19:42","04.04.18 18:10",970.956970214844,0.82666015625
"1800112500B100","1800112500Y100",SPCC,5,1.2,1535,1793,23535.0063003668,"04.04.18 20:05","05.04.18 09:18","04.04.18 20:56",1208.56713867188,1.28753662109375
"1800113900B100","1800113900Y100",SPCC,4.5,1,1535,1755,22684.209027148,"04.04.18 15:29","04.04.18 17:42","04.04.18 16:05",644.123596191406,0.9674072265625
"1800115300B100","1800115300Y100",SPCC,5,1.36,1535,1765,22640.2729845456,"05.04.18 09:23","05.04.18 11:07","04.05.18 09:47",827.819396972656,0.59600830078125
"1800113800B100","1800113800Y100",SPCC,5,1.36,1535,1774,22978.8902650301,"05.04.18 08:24","05.04.18 10:32","04.05.18 08:57",0,0
"1800103300B100","1800103300Y100",SPCC,5.5,1.66,1535,1779,23812.7621127918,"05.04.18 11:13","05.04.18 14:40","04.05.18 12:51",771.709716796875,0.6771240234375
